AverageDiscountedReturn,AvgTrajLen,StdReturn,MinReturn,CurStdMean,AverageReturn,Iteration,NumTrajs,MaxReturn
86.6020325142,200.0,200.0,200.0,7.7480888505e-09,200.0,195,20,200.0
86.6020325142,200.0,200.0,200.0,6.24528009931e-09,200.0,196,20,200.0
86.6020325142,200.0,200.0,200.0,4.8134232011e-09,200.0,197,20,200.0
86.6020325142,200.0,200.0,200.0,4.43855432043e-09,200.0,198,20,200.0
86.6020325142,200.0,200.0,200.0,3.27841907834e-09,200.0,199,20,200.0
86.6020325142,200.0,200.0,200.0,2.37555656984e-09,200.0,200,20,200.0
86.6020325142,200.0,200.0,200.0,1.88152654887e-09,200.0,201,20,200.0
86.6020325142,200.0,200.0,200.0,1.41533298776e-09,200.0,202,20,200.0
86.6020325142,200.0,200.0,200.0,1.0371549036e-09,200.0,203,20,200.0
86.6020325142,200.0,200.0,200.0,8.33571043993e-10,200.0,204,20,200.0
86.6020325142,200.0,200.0,200.0,7.11457500846e-10,200.0,205,20,200.0
86.6020325142,200.0,200.0,200.0,5.26023804447e-10,200.0,206,20,200.0
86.6020325142,200.0,200.0,200.0,3.91378716129e-10,200.0,207,20,200.0
86.6020325142,200.0,200.0,200.0,3.15991140291e-10,200.0,208,20,200.0
86.6020325142,200.0,200.0,200.0,2.90317368917e-10,200.0,209,20,200.0
86.6020325142,200.0,200.0,200.0,2.63379690053e-10,200.0,210,20,200.0
86.6020325142,200.0,200.0,200.0,2.18272289404e-10,200.0,211,20,200.0
86.6020325142,200.0,200.0,200.0,1.82393310606e-10,200.0,212,20,200.0
86.6020325142,200.0,200.0,200.0,1.4762238129e-10,200.0,213,20,200.0
86.6020325142,200.0,200.0,200.0,1.18211230647e-10,200.0,214,20,200.0
86.6020325142,200.0,200.0,200.0,9.88814206623e-11,200.0,215,20,200.0
86.6020325142,200.0,200.0,200.0,8.2390794509e-11,200.0,216,20,200.0
86.6020325142,200.0,200.0,200.0,7.47791961331e-11,200.0,217,20,200.0
86.6020325142,200.0,200.0,200.0,6.75032667155e-11,200.0,218,20,200.0
86.6020325142,200.0,200.0,200.0,5.36868951907e-11,200.0,219,20,200.0
86.6020325142,200.0,200.0,200.0,4.18396535987e-11,200.0,220,20,200.0
86.6020325142,200.0,200.0,200.0,3.60118860083e-11,200.0,221,20,200.0
86.6020325142,200.0,200.0,200.0,3.17202838624e-11,200.0,222,20,200.0
86.6020325142,200.0,200.0,200.0,2.44256428051e-11,200.0,223,20,200.0
86.6020325142,200.0,200.0,200.0,1.8484176802e-11,200.0,224,20,200.0
86.6020325142,200.0,200.0,200.0,1.56826957938e-11,200.0,225,20,200.0
86.6020325142,200.0,200.0,200.0,1.34586583782e-11,200.0,226,20,200.0
86.6020325142,200.0,200.0,200.0,1.20178547281e-11,200.0,227,20,200.0
86.6020325142,200.0,200.0,200.0,9.110947895e-12,200.0,228,20,200.0
86.6020325142,200.0,200.0,200.0,6.38313208541e-12,200.0,229,20,200.0
86.6020325142,200.0,200.0,200.0,5.27051173753e-12,200.0,230,20,200.0
86.6020325142,200.0,200.0,200.0,4.29466763438e-12,200.0,231,20,200.0
86.6020325142,200.0,200.0,200.0,3.77992323822e-12,200.0,232,20,200.0
86.6020325142,200.0,200.0,200.0,3.27992786072e-12,200.0,233,20,200.0
86.6020325142,200.0,200.0,200.0,3.16311340795e-12,200.0,234,20,200.0
86.6020325142,200.0,200.0,200.0,2.41418779902e-12,200.0,235,20,200.0
86.6020325142,200.0,200.0,200.0,2.38280171151e-12,200.0,236,20,200.0
86.6020325142,200.0,200.0,200.0,1.77897480536e-12,200.0,237,20,200.0
86.6020325142,200.0,200.0,200.0,1.60946334377e-12,200.0,238,20,200.0
86.6020325142,200.0,200.0,200.0,1.40332548579e-12,200.0,239,20,200.0
86.6020325142,200.0,200.0,200.0,1.08820445256e-12,200.0,240,20,200.0
86.6020325142,200.0,200.0,200.0,8.66710365003e-13,200.0,241,20,200.0
86.6020325142,200.0,200.0,200.0,7.17489599102e-13,200.0,242,20,200.0
86.6020325142,200.0,200.0,200.0,5.86535879327e-13,200.0,243,20,200.0
86.6020325142,200.0,200.0,200.0,4.80441638163e-13,200.0,244,20,200.0
86.6020325142,200.0,200.0,200.0,3.75195166783e-13,200.0,245,20,200.0
86.6020325142,200.0,200.0,200.0,3.26734752401e-13,200.0,246,20,200.0
86.6020325142,200.0,200.0,200.0,2.48723686045e-13,200.0,247,20,200.0
86.6020325142,200.0,200.0,200.0,1.97346373152e-13,200.0,248,20,200.0
86.6020325142,200.0,200.0,200.0,1.70346658353e-13,200.0,249,20,200.0
