MinReturn,CurStdMean,AverageReturn,Iteration,AvgTrajLen,AverageDiscountedReturn,MaxReturn,StdReturn
13.0,1.0,149.178571429,168,149.178571429,-69.6366702316,200.0,149.178571429
14.0,1.0,153.407407407,169,153.407407407,-72.7642052858,200.0,153.407407407
10.0,1.0,139.8,170,139.8,-67.1240946935,200.0,139.8
8.0,1.0,166.68,171,166.68,-76.1802916339,200.0,166.68
14.0,1.0,133.64516129,172,133.64516129,-64.9629957701,200.0,133.64516129
12.0,1.0,155.333333333,173,155.333333333,-70.458583321,200.0,155.333333333
12.0,1.0,129.064516129,174,129.064516129,-63.5611458313,200.0,129.064516129
47.0,1.0,173.625,175,173.625,-79.1569011207,200.0,173.625
10.0,1.0,170.625,176,170.625,-76.1579419773,200.0,170.625
9.0,1.0,149.740740741,177,149.740740741,-70.7979075781,200.0,149.740740741
13.0,1.0,181.391304348,178,181.391304348,-81.1431844969,200.0,181.391304348
37.0,1.0,183.681818182,179,183.681818182,-82.5082862463,200.0,183.681818182
20.0,1.0,167.625,180,167.625,-76.4657423374,200.0,167.625
46.0,1.0,182.227272727,181,182.227272727,-81.914952562,200.0,182.227272727
28.0,1.0,171.958333333,182,171.958333333,-79.1446655818,200.0,171.958333333
87.0,1.0,190.636363636,183,190.636363636,-84.5200692703,200.0,190.636363636
99.0,1.0,190.761904762,184,190.761904762,-84.6839480066,200.0,190.761904762
29.0,1.0,189.227272727,185,189.227272727,-83.2415861233,200.0,189.227272727
181.0,1.0,199.095238095,186,199.095238095,-86.4677933944,200.0,199.095238095
21.0,1.0,175.304347826,187,175.304347826,-80.2825963342,200.0,175.304347826
103.0,1.0,189.954545455,188,189.954545455,-84.4592779354,200.0,189.954545455
83.0,1.0,181.434782609,189,181.434782609,-82.5230718558,200.0,181.434782609
34.0,1.0,174.130434783,190,174.130434783,-79.4444330076,200.0,174.130434783
12.0,1.0,181.782608696,191,181.782608696,-81.4778093189,200.0,181.782608696
83.0,1.0,175.869565217,192,175.869565217,-81.5230664214,200.0,175.869565217
71.0,1.0,183.227272727,193,183.227272727,-82.6892205355,200.0,183.227272727
11.0,1.0,182.52173913,194,182.52173913,-80.0890871055,200.0,182.52173913
15.0,1.0,187.590909091,195,187.590909091,-82.6822379244,200.0,187.590909091
12.0,1.0,174.125,196,174.125,-77.6740757069,200.0,174.125
200.0,1.0,200.0,197,200.0,-86.6020325142,200.0,200.0
119.0,1.0,194.095238095,198,194.095238095,-85.4551152615,200.0,194.095238095
55.0,1.0,185.681818182,199,185.681818182,-82.7292043151,200.0,185.681818182
9.0,1.0,185.363636364,200,185.363636364,-81.6509084508,200.0,185.363636364
95.0,1.0,194.238095238,201,194.238095238,-85.2958896033,200.0,194.238095238
174.0,1.0,198.333333333,202,198.333333333,-86.3511086076,200.0,198.333333333
15.0,1.0,177.52173913,203,177.52173913,-79.1431320425,200.0,177.52173913
29.0,1.0,184.136363636,204,184.136363636,-82.2234191984,200.0,184.136363636
66.0,1.0,182.363636364,205,182.363636364,-82.3128497368,200.0,182.363636364
59.0,1.0,192.047619048,206,192.047619048,-84.4176803431,200.0,192.047619048
10.0,1.0,167.44,207,167.44,-76.6744696094,200.0,167.44
11.0,1.0,166.32,208,166.32,-75.030939294,200.0,166.32
9.0,1.0,152.37037037,209,152.37037037,-70.2967543303,200.0,152.37037037
12.0,1.0,164.64,210,164.64,-75.2882712184,200.0,164.64
12.0,1.0,167.25,211,167.25,-76.047583958,200.0,167.25
8.0,1.0,134.133333333,212,134.133333333,-64.7843072272,200.0,134.133333333
29.0,1.0,162.68,213,162.68,-76.0035292651,200.0,162.68
25.0,1.0,177.173913043,214,177.173913043,-79.7151766913,200.0,177.173913043
10.0,1.0,155.884615385,215,155.884615385,-74.8566649378,200.0,155.884615385
73.0,1.0,169.916666667,216,169.916666667,-79.69456865,200.0,169.916666667
129.0,1.0,194.666666667,217,194.666666667,-85.6123666645,200.0,194.666666667
13.0,1.0,166.75,218,166.75,-77.1569593986,200.0,166.75
13.0,1.0,146.5,219,146.5,-69.7147325799,200.0,146.5
10.0,1.0,142.551724138,220,142.551724138,-68.8757305914,200.0,142.551724138
12.0,1.0,160.76,221,160.76,-74.3362493459,200.0,160.76
117.0,1.0,184.863636364,222,184.863636364,-83.528366484,200.0,184.863636364
13.0,1.0,141.724137931,223,141.724137931,-69.2949746006,200.0,141.724137931
12.0,1.0,138.733333333,224,138.733333333,-66.7457872367,200.0,138.733333333
9.0,1.0,151.925925926,225,151.925925926,-70.9654163949,200.0,151.925925926
22.0,1.0,158.076923077,226,158.076923077,-74.9849988597,200.0,158.076923077
10.0,1.0,143.357142857,227,143.357142857,-67.4890343152,200.0,143.357142857
10.0,1.0,161.6,228,161.6,-75.4483111483,200.0,161.6
14.0,1.0,173.458333333,229,173.458333333,-78.9262477931,200.0,173.458333333
11.0,1.0,140.413793103,230,140.413793103,-67.45535803,200.0,140.413793103
13.0,1.0,165.84,231,165.84,-74.7815017641,200.0,165.84
26.0,1.0,159.269230769,232,159.269230769,-74.875268197,200.0,159.269230769
20.0,1.0,174.782608696,233,174.782608696,-78.4764995622,200.0,174.782608696
16.0,1.0,164.8,234,164.8,-76.6480012158,200.0,164.8
25.0,1.0,176.826086957,235,176.826086957,-78.5950983628,200.0,176.826086957
9.0,1.0,164.4,236,164.4,-75.8067953174,200.0,164.4
12.0,1.0,152.222222222,237,152.222222222,-70.7712071897,200.0,152.222222222
10.0,1.0,173.916666667,238,173.916666667,-78.2330250797,200.0,173.916666667
13.0,1.0,166.875,239,166.875,-75.8681523543,200.0,166.875
12.0,1.0,170.625,240,170.625,-76.8024146224,200.0,170.625
38.0,1.0,185.136363636,241,185.136363636,-82.5454648495,200.0,185.136363636
10.0,1.0,160.72,242,160.72,-73.4747728021,200.0,160.72
12.0,1.0,153.62962963,243,153.62962963,-71.9084435683,200.0,153.62962963
28.0,1.0,181.652173913,244,181.652173913,-81.9787386814,200.0,181.652173913
30.0,1.0,170.916666667,245,170.916666667,-78.3218999462,200.0,170.916666667
13.0,1.0,149.962962963,246,149.962962963,-70.9911322461,200.0,149.962962963
19.0,1.0,166.56,247,166.56,-76.0941811063,200.0,166.56
12.0,1.0,143.931034483,248,143.931034483,-70.8410435274,200.0,143.931034483
13.0,1.0,156.730769231,249,156.730769231,-72.5322116536,200.0,156.730769231
